time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-11-06T05:49:24.707Z,36.7328,-105.0002,5,2.6,ml,,59,0.112,0.69,us,us7000frxu,2021-11-07T02:01:41.314Z,"21 km NNE of Ute Park, New Mexico",earthquake,3.9,2,0.061,35,reviewed,us,us
2021-11-06T06:03:02.659Z,63.2071,-151.5404,14.6,2.5,ml,,,,0.92,ak,ak021e8s6u3g,2021-11-07T05:22:40.501Z,"38 km SSE of Denali National Park, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-11-06T06:05:26.505Z,46.3705,152.617,36.56,4.7,mb,,176,6.809,0.54,us,us7000fry6,2021-11-06T06:52:28.040Z,"Kuril Islands",earthquake,9.8,6.6,0.106,27,reviewed,us,us
2021-11-06T06:19:36.632Z,29.8844,-113.9053,10,4.3,mb,,161,1.41,0.7,us,us7000fry2,2021-11-07T06:21:52.515Z,"117 km W of La Libertad, Mexico",earthquake,6.9,2,0.217,6,reviewed,us,us
2021-11-06T07:12:36.324Z,-19.864,-177.4746,555.97,4.1,mb,,137,4.731,0.61,us,us7000fryc,2021-11-06T12:40:57.040Z,"275 km WNW of Haveluloto, Tonga",earthquake,13.1,9.5,0.135,15,reviewed,us,us
2021-11-06T08:15:29.140Z,19.3881666666667,-155.4565,8.49,2.98,ml,52,53,,0.14,hv,hv72784467,2021-11-06T20:45:24.467Z,"20 km N of P?hala, Hawaii",earthquake,0.25,0.34,0.177696214144402,37,reviewed,hv,hv
2021-11-06T08:50:05.110Z,18.029,-66.7776,13,2.63,md,23,102,0.1719,0.13,pr,pr2021310003,2021-11-06T18:27:44.737Z,"1 km NW of Magas Arriba, Puerto Rico",earthquake,0.36,0.21,0.41,5,reviewed,pr,pr
2021-11-06T08:55:15.024Z,-16.9959,-174.3935,216.05,4.4,mb,,129,3.969,0.74,us,us7000fryt,2021-11-06T13:11:55.040Z,"131 km SSW of Hihifo, Tonga",earthquake,8.8,8.1,0.12,20,reviewed,us,us
2021-11-06T09:21:11.730Z,62.9453,-148.442,0,2.9,ml,,,,0.59,ak,ak021e8u30f6,2021-11-07T22:26:53.981Z,"55 km SSE of Cantwell, Alaska",earthquake,,0,,,reviewed,ak,ak
2021-11-06T09:37:23.644Z,53.6824,162.2625,10,4.5,mb,,113,2.263,1,us,us7000fryz,2021-11-06T10:11:07.040Z,"251 km ENE of Petropavlovsk-Kamchatsky, Russia",earthquake,8.4,1.9,0.065,70,reviewed,us,us
2021-11-06T09:56:22.566Z,-60.1682,-24.6229,10,4.7,mb,,94,14.433,0.51,us,us7000frz9,2021-11-06T10:51:30.040Z,"South Sandwich Islands region",earthquake,14,1.9,0.098,33,reviewed,us,us
2021-11-06T09:57:24.318Z,-16.1185,-173.5932,88.27,4.6,mb,,141,2.808,0.41,us,us7000frz4,2021-11-06T10:30:21.040Z,"28 km SE of Hihifo, Tonga",earthquake,11,11,0.133,20,reviewed,us,us
2021-11-06T11:17:17.900Z,19.1671666666667,-155.491666666667,34.9,2.5,md,44,103,,0.11,hv,hv72784642,2021-11-06T20:55:13.470Z,"4 km SSW of P?hala, Hawaii",earthquake,0.47,0.63,0.120174179420781,18,reviewed,hv,hv
2021-11-06T13:03:02.864Z,-21.3208,-173.633,10,5.3,mb,,189,7.579,0.67,us,us7000frzy,2021-11-07T01:45:58.025Z,"136 km E of ‘Ohonua, Tonga",earthquake,7.6,2,0.094,38,reviewed,us,us
2021-11-06T13:09:16.515Z,24.2243,94.8334,107.01,4.4,mb,,106,0.486,0.9,us,us7000fs01,2021-11-06T17:21:38.040Z,"77 km NE of Mawlaik, Myanmar",earthquake,8.1,6,0.112,23,reviewed,us,us
2021-11-06T14:37:37.418Z,-0.0751,124.3146,39.85,6,mww,,22,1.817,1.33,us,us7000fs08,2021-11-08T20:09:56.040Z,"154 km ESE of Gorontalo, Indonesia",earthquake,6.4,3.9,0.06,27,reviewed,us,us
2021-11-06T14:51:02.867Z,60.3784,-152.4032,84.9,2.5,ml,,,,0.81,ak,ak021e8x8lbv,2021-11-06T17:25:32.040Z,"54 km NW of Ninilchik, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-11-06T15:13:19.459Z,-58.5233,-23.3964,10,5.3,mb,,68,8.407,0.99,us,us7000fs1f,2021-11-06T15:31:10.040Z,"South Sandwich Islands region",earthquake,8.8,1.9,0.065,80,reviewed,us,us
2021-11-06T15:43:50.510Z,17.9861,-66.7296,10,2.52,md,11,170,0.1358,0.13,pr,pr2021310004,2021-11-06T16:00:14.909Z,"1 km SW of Tallaboa, Puerto Rico",earthquake,0.35,0.57,0.11,7,reviewed,pr,pr
2021-11-06T16:01:56.581Z,-3.4701,134.0201,17.43,4.7,mb,,113,1.851,0.71,us,us7000fs2d,2021-11-06T16:39:18.040Z,"164 km W of Nabire, Indonesia",earthquake,9.9,5.6,0.071,60,reviewed,us,us
2021-11-06T16:12:12.313Z,-3.4626,134.2232,10,4.3,mb,,141,2.043,1.01,us,us7000fs2g,2021-11-06T17:14:25.040Z,"142 km W of Nabire, Indonesia",earthquake,6.1,1.9,0.133,16,reviewed,us,us
2021-11-06T16:35:44.410Z,19.2276666666667,-155.383166666667,31.26,2.86,ml,53,151,,0.12,hv,hv72784922,2021-11-10T00:04:44.120Z,"10 km ENE of P?hala, Hawaii",earthquake,0.44,0.53,0.198481331227733,34,reviewed,hv,hv
2021-11-06T18:00:13.500Z,17.8771,-65.7031,4,3.36,md,15,233,0.2666,0.35,pr,pr2021310005,2021-11-06T18:40:43.710Z,"23 km SE of Emajagua, Puerto Rico",earthquake,1.06,1.02,0.09,11,reviewed,pr,pr
2021-11-06T19:00:37.433Z,-11.8916,-73.429,52.67,4.8,mb,,91,3.341,0.44,us,us7000fs3a,2021-11-06T19:23:23.040Z,"52 km WNW of Pangoa, Peru",earthquake,7.8,9.9,0.097,33,reviewed,us,us
2021-11-06T20:31:25.917Z,-18.2776,-69.5352,132.87,4.2,mb,,69,0.062,0.73,us,us7000fs3l,2021-11-06T21:53:57.040Z,"71 km SE of Palca, Peru",earthquake,5.7,4.5,0.159,11,reviewed,us,us
2021-11-06T20:32:52.855Z,-24.2797,179.9977,513.29,4.9,mb,,78,5.299,0.93,us,us7000fs3m,2021-11-06T20:48:23.040Z,"south of the Fiji Islands",earthquake,9.6,6.1,0.068,67,reviewed,us,us
2021-11-06T20:45:56.954Z,-20.3541,-70.0249,53.74,2.7,ml,,178,0.684,0.29,us,us7000fs3q,2021-11-07T23:01:16.020Z,"20 km SE of Iquique, Chile",earthquake,4.3,14.4,0.077,22,reviewed,us,us
2021-11-06T21:08:34.806Z,-34.0585,-179.6003,35,4.3,mb,,163,3.888,1.04,us,us7000fs3t,2021-11-06T22:06:43.040Z,"south of the Kermadec Islands",earthquake,12.7,2,0.177,9,reviewed,us,us
2021-11-06T22:52:23.392Z,-17.9856,-178.0248,605.24,4.3,mb,,91,3.658,0.78,us,us7000fs44,2021-11-06T23:15:06.040Z,"281 km E of Levuka, Fiji",earthquake,13.1,6.6,0.062,73,reviewed,us,us
2021-11-06T23:17:37.982Z,-4.0261,140.0439,51.73,4.4,mb,,183,7.858,0.55,us,us7000fs47,2021-11-06T23:34:06.040Z,"171 km SSW of Abepura, Indonesia",earthquake,6.5,13.6,0.178,9,reviewed,us,us
2021-11-06T23:22:22.209Z,58.3657,-133.5566,7.47,2.8,ml,,108,0.515,0.52,us,us7000fs48,2021-11-07T02:03:54.040Z,"51 km E of Juneau, Alaska",earthquake,3.2,7.6,0.06,36,reviewed,us,us
2021-11-07T00:42:24.010Z,41.9259987,-121.9638367,2.77,2.58,md,15,70,0.1708,0.09,nc,nc73649690,2021-11-07T02:14:10.866Z,"6km SW of Dorris, CA",earthquake,0.34,10.8,0.1,11,automatic,nc,nc
2021-11-07T03:16:44.975Z,-40.3332,173.4111,213.06,5.2,mww,,35,0.779,0.98,us,us7000fs4q,2021-11-08T03:20:30.437Z,"77 km NE of Takaka, New Zealand",earthquake,7.5,6.1,0.089,12,reviewed,us,us
2021-11-07T03:39:33.757Z,-19.266,-173.4713,10,5.4,mww,,81,5.567,1.09,us,us7000fs4v,2021-11-08T03:42:18.397Z,"86 km SE of Neiafu, Tonga",earthquake,11.1,1.9,0.098,10,reviewed,us,us
2021-11-07T03:50:47.121Z,0.9638,119.9714,35,4.5,mb,,146,0.823,0.85,us,us7000ft8w,2021-11-12T22:34:18.040Z,"207 km N of Palu, Indonesia",earthquake,9.6,2,0.221,7,reviewed,us,us
2021-11-07T04:36:34.408Z,-7.343,116.7678,10,4.3,mb,,66,2.822,1.3,us,us7000ft8x,2021-11-12T22:47:35.040Z,"128 km N of Labuan Lombok, Indonesia",earthquake,6.2,1.9,0.216,7,reviewed,us,us
2021-11-07T05:03:02.277Z,35.8652,70.7477,93.44,4.2,mb,,91,1.265,0.56,us,us7000fs58,2021-11-07T05:55:16.040Z,"51 km NNW of P?r?n, Afghanistan",earthquake,5.1,10.8,0.141,16,reviewed,us,us
2021-11-07T05:11:24.817Z,32.1268,142.6049,10,4.4,mb,,135,2.553,0.51,us,us7000fs5c,2021-11-07T06:32:45.040Z,"Izu Islands, Japan region",earthquake,8.8,1.9,0.123,23,reviewed,us,us
2021-11-07T05:56:02.949Z,69.6639,-144.0875,23.9,3.4,ml,,,,0.84,ak,ak021eafg42a,2021-11-07T19:17:27.720Z,"55 km SSW of Kaktovik, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2021-11-07T07:53:19.550Z,18.7248,-66.8441,60,3.31,md,21,224,0.3709,0.2,pr,pr2021311000,2021-11-07T08:12:24.895Z,"26 km N of Hatillo, Puerto Rico",earthquake,0.91,1.26,0.07,4,reviewed,pr,pr
2021-11-07T07:58:28.620Z,35.5058333,-118.3856667,6.45,2.64,ml,51,31,0.1909,0.15,ci,ci39851063,2021-11-08T17:31:35.980Z,"13km SE of Bodfish, CA",earthquake,0.15,0.64,0.159,111,reviewed,ci,ci
2021-11-07T09:14:51.360Z,17.9443,-67.1026,9,3.24,md,23,237,0.0625,0.12,pr,pr2021311001,2021-11-07T09:39:29.870Z,"6 km WSW of La Parguera, Puerto Rico",earthquake,0.63,0.46,0.15,21,reviewed,pr,pr
2021-11-07T09:36:13.030Z,19.2316666666667,-155.4025,33.04,2.81,ml,55,139,,0.12,hv,hv72786022,2021-11-09T04:16:03.330Z,"8 km ENE of P?hala, Hawaii",earthquake,0.42,0.5,0.179402600743701,38,reviewed,hv,hv
2021-11-07T10:14:32.020Z,17.9505,-67.0945,9,2.96,md,20,243,0.0537,0.1,pr,pr2021311003,2021-11-07T10:42:41.444Z,"5 km WSW of La Parguera, Puerto Rico",earthquake,0.55,0.38,0.27,13,reviewed,pr,pr
2021-11-07T11:01:38.620Z,18.8938,-67.963,6,3.57,md,23,173,0.5651,0.44,pr,pr2021311004,2021-11-07T11:50:41.291Z,"57 km NE of Punta Cana, Dominican Republic",earthquake,1.94,1.28,0.13,21,reviewed,pr,pr
2021-11-07T11:29:03.404Z,0.1951,98.5164,50.03,4.4,mb,,139,1.448,0.55,us,us7000fs74,2021-11-07T11:52:59.040Z,"155 km SSW of Padangsidempuan, Indonesia",earthquake,2.6,8.9,0.115,25,reviewed,us,us
2021-11-07T12:44:30.590Z,40.2686,142.273,58.9,4.4,mb,,150,1.057,0.42,us,us7000fs7h,2021-11-07T20:03:53.245Z,"70 km ESE of Hachinohe, Japan",earthquake,7.3,8.6,0.114,23,reviewed,us,us
2021-11-07T15:23:08.708Z,-29.7007,179.7812,454.1,4.1,mb,,102,2.051,0.8,us,us7000fs82,2021-11-08T15:49:12.040Z,"Kermadec Islands region",earthquake,21.9,13.5,0.123,19,reviewed,us,us
2021-11-07T16:20:46.577Z,27.3029,88.797,10,4.6,mb,,141,3.242,0.63,us,us7000fs8a,2021-11-08T01:25:58.212Z,"18 km E of Gangtok, India",earthquake,11.7,1.9,0.06,86,reviewed,us,us
2021-11-07T16:28:17.132Z,-2.9276,129.369,10,4.7,mb,,57,2.876,0.62,us,us7000fs8b,2021-11-07T17:04:00.040Z,"67 km NE of Amahai, Indonesia",earthquake,7,1.9,0.073,60,reviewed,us,us
2021-11-07T17:58:03.624Z,55.1121,-160.3769,58.14,3.5,ml,,131,0.244,0.47,us,us7000fs8q,2021-11-07T18:49:50.040Z,"26 km SSE of Sand Point, Alaska",earthquake,1.6,6.1,0.061,35,reviewed,us,us
2021-11-07T18:08:32.197Z,36.2202,140.0225,61.39,4.4,mb,,139,1.498,0.73,us,us7000fs8w,2021-11-10T09:29:17.364Z,"7 km WNW of Tsukuba, Japan",earthquake,3.5,8,0.095,32,reviewed,us,us
2021-11-07T18:44:43.470Z,19.2358333333333,-155.3895,32.6,2.72,ml,54,143,,0.12,hv,hv72786447,2021-11-09T22:20:29.510Z,"10 km ENE of P?hala, Hawaii",earthquake,0.44,0.5,0.211670076787293,36,reviewed,hv,hv
2021-11-07T18:50:24.591Z,-57.8709,-25.4456,64.17,5.1,mb,,79,7.147,0.78,us,us7000fs93,2021-11-07T19:06:00.040Z,"South Sandwich Islands region",earthquake,11.7,8.5,0.083,47,reviewed,us,us
2021-11-07T19:08:53.939Z,35.106,-95.39033333,6.91,2.52,ml,61,69,0.1151773983,0.22,ok,ok2021vvvw,2021-11-08T14:26:44.028Z,"2 km SW of Quinton, Oklahoma",earthquake,,0.4,0.24,8,reviewed,ok,ok
2021-11-07T19:22:20.487Z,41.0692,141.9184,66.63,4.5,mb,,84,0.704,0.84,us,us7000fs98,2021-11-08T02:30:58.000Z,"61 km NE of Misawa, Japan",earthquake,7.2,6.9,0.091,35,reviewed,us,us
2021-11-07T19:43:20.793Z,-1.9911,125.7514,31.93,4.5,mb,,68,3.124,1.13,us,us7000fs9e,2021-11-07T20:39:01.040Z,"Pulau-Pulau Sula, Indonesia",earthquake,5.2,6.1,0.181,9,reviewed,us,us
2021-11-07T19:44:20.410Z,37.4083333,-118.5161667,7.41,2.81,md,31,63,0.06664,0.05,nc,nc73650135,2021-11-12T09:52:10.925Z,"7km E of Round Valley, CA",earthquake,0.19,0.56,0.232,66,reviewed,nc,nc
2021-11-07T20:53:38.330Z,44.4528333,-115.2328333,4.51,2.79,ml,10,93,1.068,0.2,mb,mb80529524,2021-11-08T15:23:02.140Z,"35 km NW of Stanley, Idaho",earthquake,0.92,1.95,0.203,17,reviewed,mb,mb
2021-11-07T23:20:01.970Z,19.1998333333333,-155.404333333333,33.66,2.73,ml,53,158,,0.12,hv,hv72786667,2021-11-13T04:25:18.040Z,"7 km E of P?hala, Hawaii",earthquake,0.43,0.51,0.164204773144607,34,reviewed,hv,hv
2021-11-08T00:34:28.911Z,44.4995,-115.1738,10,3.1,ml,,80,0.831,0.57,us,us7000fsar,2021-11-13T04:42:45.802Z,"36 km NNW of Stanley, Idaho",earthquake,1.9,2,0.034,117,reviewed,us,us
2021-11-08T02:18:33.296Z,24.7275,95.2339,118.09,4.5,mb,,97,2.56,0.93,us,us7000fsb1,2021-11-08T02:39:00.040Z,"119 km E of W?ngjing, India",earthquake,9.4,3.3,0.07,59,reviewed,us,us
2021-11-08T02:49:08.290Z,19.4108333333333,-155.272,2.13,2.7,md,16,60,,0.14,hv,hv72000273,2021-11-13T00:16:09.040Z,"5 km SW of Volcano, Hawaii",earthquake,0.21,0.24,0.0792367688334388,4,reviewed,hv,hv
2021-11-08T04:16:48.005Z,7.933,126.6524,69.83,4.8,mb,,79,1.366,0.9,us,us7000fsbe,2021-11-08T04:32:28.040Z,"23 km ESE of Santa Maria, Philippines",earthquake,9.4,7.2,0.082,46,reviewed,us,us
2021-11-08T04:52:46.667Z,-29.1904,-71.0876,80.41,4.8,mb,,95,0.383,0.94,us,us7000fsbk,2021-11-08T09:27:53.465Z,"75 km SSW of Vallenar, Chile",earthquake,1.8,5.2,0.09,38,reviewed,us,us
2021-11-08T05:05:56.282Z,-0.5679,123.5638,10,5,mww,,82,0.921,1.11,us,us7000fsbt,2021-11-08T05:20:02.040Z,"96 km ENE of Luwuk, Indonesia",earthquake,6.2,1.9,0.098,10,reviewed,us,us
2021-11-08T05:24:46.916Z,38.1448,-118.2335,8.3,3.2,ml,33,54.55,0.144,0.1668,nn,nn00827626,2021-11-09T02:37:17.643Z,"29 km SSW of Mina, Nevada",earthquake,,2.7,0.25,15,reviewed,nn,nn
2021-11-08T05:48:48.260Z,40.3759995,-125.0865021,21.99,2.82,md,18,301,0.7109,0.34,nc,nc73650280,2021-11-08T08:05:15.022Z,"68km W of Petrolia, CA",earthquake,14.31,29.32,0.13,3,automatic,nc,nc
2021-11-08T06:16:27.185Z,-33.9731,-73.4161,10,4.6,mwr,,52,1.532,0.76,us,us7000fsc4,2021-11-09T00:41:58.499Z,"Off the coast of Valparaiso, Chile",earthquake,5.2,1.8,0.05,38,reviewed,us,us
2021-11-08T06:20:57.279Z,38.6771,-97.4843,5,2.6,mb_lg,,98,0.735,0.28,us,us7000fsc5,2021-11-09T03:39:59.294Z,"5 km WSW of Gypsum, Kansas",earthquake,1.9,2,0.124,19,reviewed,us,us
2021-11-08T06:46:26.725Z,38.6766,-97.4495,5,2.5,mb_lg,,100,0.751,0.78,us,us7000fscb,2021-11-10T01:22:41.499Z,"3 km SSW of Gypsum, Kansas",earthquake,1.9,2,0.17,11,reviewed,us,us
2021-11-08T07:04:49.921Z,6.4973,126.154,85.96,4.8,mb,,110,0.805,0.66,us,us7000fsce,2021-11-08T09:37:00.708Z,"4 km NE of Nangan, Philippines",earthquake,7.9,6.6,0.083,46,reviewed,us,us
2021-11-08T07:53:38.650Z,19.3395,-155.319833333333,26.97,2.95,ml,55,58,,0.12,hv,hv72787112,2021-11-08T20:07:16.283Z,"14 km SW of Volcano, Hawaii",earthquake,0.32,0.37,0.198302082727262,37,reviewed,hv,hv
2021-11-08T08:04:10.790Z,51.453,-178.753,12.16,2.51,ml,20,197,,0.26,av,av91410091,2021-11-09T00:40:15.100Z,"153 km WSW of Adak, Alaska",earthquake,0.94,1.19,0.285465699028524,22,reviewed,av,av
2021-11-08T08:31:07.621Z,-7.133,126.5282,395.81,4.2,mb,,46,3.433,0.68,us,us7000fscs,2021-11-08T08:58:50.040Z,"148 km N of Baukau, Timor Leste",earthquake,9.2,7.9,0.086,40,reviewed,us,us
2021-11-08T09:09:22.497Z,63.6012,-149.2698,0,2.9,ml,,,,0.64,ak,ak021ec535ly,2021-11-08T20:05:37.846Z,"22 km SW of Denali Park, Alaska",earthquake,,0,,,reviewed,ak,ak
2021-11-08T09:15:30.227Z,37.2915,-117.4805,5.1,2.7,ml,28,71.33,0.144,0.1785,nn,nn00827653,2021-11-09T02:37:28.679Z,"51 km SSW of Goldfield, Nevada",earthquake,,1.1,0.51,19,reviewed,nn,nn
2021-11-08T10:06:01.974Z,-35.5042,-71.4017,101.82,4.2,mb,,104,0.258,0.43,us,us7000fsdc,2021-11-08T10:25:02.040Z,"8 km ENE of San Clemente, Chile",earthquake,4.7,5.8,0.187,8,reviewed,us,us
2021-11-08T10:10:15.230Z,36.95866667,-98.08566667,5,2.66,ml,95,96,0,0.24,ok,ok2021vwzp,2021-11-10T13:28:47.070Z,"5 km SW of Manchester, Oklahoma",earthquake,,0.5,0.22,41,reviewed,ok,ok
2021-11-08T10:16:19.919Z,51.9528,-170.5058,35,3.6,ml,,209,2.04,0.48,us,us7000fsfv,2021-11-09T09:12:36.040Z,"156 km SW of Nikolski, Alaska",earthquake,3.9,2,0.085,18,reviewed,us,us
2021-11-08T10:27:49.520Z,17.9685,-66.9751,7,2.68,md,16,193,0.0691,0.18,pr,pr2021312001,2021-11-08T10:50:15.483Z,"6 km WSW of Fuig, Puerto Rico",earthquake,0.57,0.34,0.25,11,reviewed,pr,pr
2021-11-08T11:37:58.127Z,38.9691,-118.1516,5.4,2.7,ml,31,71.08,0.089,0.1361,nn,nn00827660,2021-11-09T02:37:34.858Z,"22 km WNW of Gabbs, Nevada",earthquake,,1,0.37,15,reviewed,nn,nn
2021-11-08T12:52:54.320Z,17.9943,-66.9995,9,2.68,md,12,155,0.0512,0.15,pr,pr2021312002,2021-11-08T13:25:43.415Z,"5 km ENE of La Parguera, Puerto Rico",earthquake,0.41,0.63,0.16,5,reviewed,pr,pr
2021-11-08T16:00:43.269Z,69.5946,-144.2617,10,2.6,ml,,115,0.195,0.24,us,us7000fsex,2021-11-08T16:42:37.040Z,"64 km SSW of Kaktovik, Alaska",earthquake,3.8,2,0.057,40,reviewed,us,us
2021-11-08T16:02:50.573Z,-25.6398,-178.4354,342.92,4.5,mb,,127,3.637,0.6,us,us7000fsf0,2021-11-08T16:39:38.040Z,"south of the Fiji Islands",earthquake,11.4,7.4,0.058,88,reviewed,us,us
2021-11-08T16:15:02.908Z,37.1128,140.4117,47.69,4.7,mb,,102,1.856,0.34,us,us7000fsf4,2021-11-10T09:28:39.839Z,"5 km SW of Ishikawa, Japan",earthquake,7.5,6.7,0.035,250,reviewed,us,us
2021-11-08T16:27:20.875Z,27.7409,139.9831,499.27,4.1,mb,,56,2.059,0.41,us,us7000fsf7,2021-11-08T17:41:40.040Z,"Bonin Islands, Japan region",earthquake,9.7,8.4,0.047,124,reviewed,us,us
2021-11-08T17:43:21.946Z,37.8505,32.1712,10,5.1,mww,,26,1.315,0.46,us,us7000fsfm,2021-11-12T17:50:53.611Z,"22 km SE of Derbent, Turkey",earthquake,5.1,1.9,0.053,34,reviewed,us,us
2021-11-08T17:45:44.987Z,13.1454,-89.178,71.53,4.5,mb,,149,0.57,1.12,us,us7000fsfp,2021-11-09T03:25:40.836Z,"41 km SSE of La Libertad, El Salvador",earthquake,7.2,7.4,0.052,109,reviewed,us,us
2021-11-08T18:23:19.110Z,18.2505,-67.8011,148,3.65,md,7,180,0.3487,0.21,pr,pr2021312003,2021-11-08T19:45:02.103Z,"59 km W of Rincón, Puerto Rico",earthquake,3.92,1.41,0.19,7,reviewed,pr,pr
2021-11-08T19:17:53.200Z,17.9356,-66.925,8,3.03,md,17,190,0.1239,0.17,pr,pr2021312004,2021-11-08T21:11:33.688Z,"4 km SSW of Guánica, Puerto Rico",earthquake,0.49,1.01,0.16,10,reviewed,pr,pr
2021-11-08T19:35:28.084Z,38.1025,93.7149,10,4.4,mb,,98,11.989,0.71,us,us7000fsgb,2021-11-08T21:30:43.040Z,"northern Qinghai, China",earthquake,12,1.9,0.109,24,reviewed,us,us
2021-11-08T20:07:55.112Z,-0.2324,125.1272,54.15,4.6,mb,,64,2.451,0.98,us,us7000fsgi,2021-11-08T21:18:40.040Z,"Molucca Sea",earthquake,8.1,7.6,0.073,57,reviewed,us,us
2021-11-08T21:05:27.010Z,31.67129056,-104.4007945,7.494091797,2.5,ml,15,69,0.08527386181,0.2,tx,tx2021vxvf,2021-11-08T22:07:11.040Z,"55 km S of Whites City, New Mexico",earthquake,1.114015665,1.6801296109999997,0.2,10,reviewed,tx,tx
2021-11-08T21:36:12.970Z,36.4760017,-121.055336,8.12,2.55,md,36,76,0.02079,0.11,nc,nc73650505,2021-11-09T15:11:59.334Z,"10km SE of Pinnacles, CA",earthquake,0.26,0.5,0.18,37,automatic,nc,nc
2021-11-08T23:20:29.980Z,17.9155,-66.7471,6,3.05,md,20,184,0.1899,0.19,pr,pr2021312005,2021-11-08T23:50:24.112Z,"9 km SSW of Tallaboa, Puerto Rico",earthquake,0.51,0.35,0.15,14,reviewed,pr,pr
2021-11-08T23:23:22.650Z,36.1585,-89.6883333,7.52,2.59,md,61,33,0.03998,0.11,nm,nm60362592,2021-11-09T21:32:54.242Z,"4 km SW of Caruthersville, Missouri",earthquake,0.13,0.43,0.076,40,reviewed,nm,nm
2021-11-09T00:14:06.040Z,-47.3267,32.1154,10,4.7,mb,,84,14.695,0.62,us,us7000ftl1,2021-11-13T05:53:02.040Z,"Prince Edward Islands region",earthquake,7,1.9,0.099,31,reviewed,us,us
2021-11-09T00:25:22.870Z,19.1716666666667,-155.472333333333,31.72,3.23,ml,54,79,,0.12,hv,hv72788152,2021-11-13T04:45:07.040Z,"3 km S of P?hala, Hawaii",earthquake,0.42,0.54,0.194040052725444,39,reviewed,hv,hv
2021-11-09T02:00:41.982Z,61.6772,-150.2835,21,3.4,ml,,,,0.57,ak,ak021edoel2m,2021-11-10T04:39:26.436Z,"15 km WSW of Willow, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2021-11-09T02:19:09.125Z,-5.3981,123.184,10,4.8,mb,,65,3.35,0.87,us,us7000fsj4,2021-11-09T02:51:00.040Z,"90 km SE of Katabu, Indonesia",earthquake,7.4,1.9,0.105,28,reviewed,us,us
2021-11-09T02:53:50.035Z,11.1533,-86.6853,17,5.9,mww,,27,1.078,0.77,us,us7000fsjc,2021-11-10T04:58:32.513Z,"72 km SSW of Masachapa, Nicaragua",earthquake,3.3,1.7,0.035,78,reviewed,us,us
